YEAR,DISTRICT,DISTRICT NAME,Grades served,Number of schools,Administrators,Teachers,Average Daily Membership,Total,White,African American,Hispanic,Asian,Native American,Male,Female,White PCT,African American PCT,Hispanic PCT,Asian PCT,Native American PCT,Male PCT,Female PCT,White Male,African American Male,Hispanic Male,Asian Male,Native American Male,White Female,African American Female,Hispanic Female,Asian Female,Native American Female,Limited English Proficient PCT,Limited English Proficient,Number Exempt from Reading Assessment,Students with Disabilities,Students with Disabilities PCT,Free eligible,Reduced eligible,Free reduced eligible,Free PCT,Reduced PCT,Free reduced PCT,Title I,Title I PCT,Per Pupil Expenditures per ADA,Local Funding PCT,Federal Funding PCT,State Funding PCT,State Per Pupil Expenditures per ADA,State Local Funding PCT,State Federal Funding PCT,State State Funding PCT
2013,60,Bradley County,PK-12,18,28,644,9898,10441,9593,379,385,51,23,5484,4957,91.9,3.6,3.7,0.5,0.2,52.5,47.5,5048,187,193,,,4536,180,181,,,1.7,177,,1142,10.9,4651,1039,5690,44.8,10,54.8,3967,38,8054,31.7,10.2,58.1,9293,40.1,11.3,48.7
2013,61,Cleveland,PK-12,8,26,345,5039,5423,3726,740,812,107,19,2828,2595,68.7,13.6,15,2,0.4,52.1,47.9,1964,359,407,,,1740,365,396,,,6.7,365,,770,14.2,3060,313,3373,56.4,5.8,62.2,2563,47.3,9147.51,36.7,10,53.2,9293,40.1,11.3,48.7
2013,70,Campbell County,PK-12,13,34,375,5420,5889,5788,21,55,14,,3051,2838,98.3,0.4,0.9,0.2,,51.8,48.2,3000,,20,,,2788,,23,,,0.4,24,,733,12.4,3793,539,4332,64.4,9.2,73.6,5421,92.1,8197.09,20.7,17.3,62.1,9293,40.1,11.3,48.7
2013,80,Cannon County,PK-12,7,13,162,1981,2128,2029,33,45,12,,1103,1025,95.3,1.6,2.1,0.6,,51.8,48.2,1045,,13,,,982,12,,,,0.8,17,,354,16.6,1138,213,1351,53.5,10,63.5,1358,63.8,8436.75,19.6,9.8,70.6,9293,40.1,11.3,48.7
2013,90,Carroll County,10-12,2,3,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51.4,1.5,47.1,9293,40.1,11.3,48.7
2013,92,Hollow Rock - Bruceton,PK-12,2,5,48,638,669,590,64,14,,,361,308,88.2,9.6,2.1,,,54,46,312,41,,,,276,16,,,,,,,111,16.6,446,32,478,66.9,4.8,71.7,657,98.2,8542.41,22.6,12,65.4,9293,40.1,11.3,48.7
2013,93,Huntingdon,PK-12,3,7,95,1201,1249,991,234,17,,,625,624,79.3,18.7,1.4,,,50,50,493,116,,,,498,111,,,,,,,195,15.6,615,67,682,49.2,5.4,54.6,462,37,7855.65,25.1,9.9,65,9293,40.1,11.3,48.7
2013,94,McKenzie,PK-12,3,6,92,1356,1410,1153,191,60,,,745,665,81.8,13.5,4.3,,,52.8,47.2,612,90,16,,,541,77,26,,,0.9,12,,209,14.8,765,86,851,54.2,6.1,60.3,538,38.2,7444.99,22.9,9,68.1,9293,40.1,11.3,48.7
2013,95,South Carroll,PK-12,1,2,38,364,393,348,27,10,,,197,196,88.5,6.9,2.5,,,50.1,49.9,174,,,,,170,,,,,,,,60,15.3,184,51,235,46.8,13,59.8,384,97.7,8612.05,24.2,10.8,65,9293,40.1,11.3,48.7
2013,97,West Carroll Sp Dist,K-12,3,6,74,966,1026,896,112,13,,,517,509,87.3,10.9,1.3,,,50.4,49.6,456,45,,,,440,53,,,,,,,207,20.2,613,107,720,59.8,10.4,70.2,529,51.6,8359.4,24,11.4,64.7,9293,40.1,11.3,48.7
2013,100,Carter County,PK-12,16,33,445,5346,5714,5481,71,120,14,25,2986,2728,95.9,1.2,2.1,0.2,0.4,52.3,47.7,2854,24,51,,,2613,24,42,,,0.5,29,,921,16.1,3528,575,4103,61.9,10.1,72,4077,71.4,8820.23,25.4,13.5,61.1,9293,40.1,11.3,48.7
2013,101,Elizabethton,PK-12,5,16,177,2368,2503,2317,114,38,24,,1280,1223,92.6,4.6,1.5,1,,51.1,48.9,1174,48,13,,,1140,43,,,,0.6,16,,385,15.4,1055,230,1285,42.1,9.2,51.3,1106,44.2,9216.68,35.1,8.7,56.2,9293,40.1,11.3,48.7
2013,110,Cheatham County,PK-12,13,18,369,6447,6675,6266,160,188,32,22,3441,3234,93.9,2.4,2.8,0.5,0.3,51.6,48.4,3236,77,83,,,3027,70,88,,,1.2,78,,960,14.4,2742,553,3295,41.1,8.3,49.4,1957,29.3,7946.34,26.9,7.7,65.4,9293,40.1,11.3,48.7
2013,120,Chester County,PK-12,6,19,175,2726,2825,2337,388,78,12,10,1431,1394,82.7,13.7,2.8,0.4,0.4,50.7,49.3,1193,186,18,,,1140,195,32,,,0.7,21,,281,9.9,1482,208,1690,52.6,7.4,60,1248,44.2,7775.95,15.5,12.5,72,9293,40.1,11.3,48.7
2013,130,Claiborne County,PK-12,13,39,355,4444,4719,4562,71,57,11,18,2454,2265,96.7,1.5,1.2,0.2,0.4,52,48,2368,24,18,,11,2193,23,15,,,0.3,12,,632,13.4,2903,548,3451,62.7,11.8,74.6,4447,94.2,9136.23,25.7,12.6,61.6,9293,40.1,11.3,48.7
2013,140,Clay County,PK-12,5,14,81,1016,1089,1041,22,21,,,551,538,95.6,2,1.9,,,50.6,49.4,533,,,,,508,10,,,,,,,159,14.6,666,84,750,61.2,7.7,68.9,750,68.9,9456.55,21.2,12.5,66.2,9293,40.1,11.3,48.7
2013,150,Cocke County,PK-12,12,23,333,4612,4809,4495,154,131,15,10,2483,2326,93.5,3.2,2.7,0.3,0.2,51.6,48.4,2314,75,59,,,2179,61,44,,,1.1,51,,743,15.5,3298,415,3713,68.7,8.6,77.4,3415,71,8898.19,23.6,14.3,62.1,9293,40.1,11.3,48.7
2013,151,Newport,PK-8,1,3,59,715,765,672,54,19,13,,376,389,87.8,7.1,2.5,1.7,,49.2,50.8,333,21,,,,339,27,,,,,,,112,14.6,397,63,460,51.9,8.2,60.1,755,98.7,8860.18,29.3,14.6,56.1,9293,40.1,11.3,48.7
2013,160,Coffee County,PK-12,9,33,318,4303,4573,4187,143,204,25,10,2318,2255,91.6,3.1,4.5,0.5,0.2,50.7,49.3,2124,62,75,,,2062,67,91,,,1.2,54,,616,13.5,2284,385,2669,50,8.4,58.4,1784,39,9160.51,37,10.1,52.9,9293,40.1,11.3,48.7
2013,161,Manchester,PK-9,3,15,105,1240,1365,1056,83,189,29,,704,661,77.4,6.1,13.8,2.1,,51.6,48.4,555,38,79,,,496,34,91,,,10.3,140,,320,23.4,788,104,892,57.7,7.6,65.3,1240,90.8,11432.12,41.6,9,49.5,9293,40.1,11.3,48.7
2013,162,Tullahoma,PK-12,7,19,236,3266,3471,2794,410,177,67,19,1799,1672,80.5,11.8,5.1,1.9,0.5,51.8,48.2,1463,202,59,,,1330,197,82,,,1.8,64,,641,18.5,1631,224,1855,47,6.4,53.4,1133,32.6,10021.5,47.9,8.5,43.7,9293,40.1,11.3,48.7
2013,170,Crockett County,PK-12,5,14,131,1826,1946,1402,265,274,,,973,973,72,13.6,14.1,,,50,50,696,130,123,,,700,132,115,,,5.4,105,,221,11.4,1126,171,1297,57.9,8.8,66.6,1084,55.7,8010.74,15.4,11.2,73.4,9293,40.1,11.3,48.7
2013,171,Alamo,PK-6,1,4,39,589,670,466,97,106,,,311,359,69.6,14.5,15.8,,,46.4,53.6,219,43,31,,,242,40,58,,,9.3,62,,71,10.6,383,55,438,57.2,8.2,65.4,589,87.9,8404.99,11.1,7.3,81.7,9293,40.1,11.3,48.7
2013,172,Bells,PK-5,1,2,33,387,445,258,82,103,,,228,217,58,18.4,23.1,,,51.2,48.8,134,17,47,,,109,38,40,,,9.7,43,,60,13.5,248,32,280,55.7,7.2,62.9,,,8421.58,13.2,9,77.8,9293,40.1,11.3,48.7
2013,180,Cumberland County,PK-12,12,34,521,7132,7484,6997,76,305,72,27,3892,3592,93.5,1,4.1,1,0.4,52,48,3636,25,164,,,3353,31,130,,,1.5,115,,938,12.5,4154,776,4930,55.5,10.4,65.9,5079,67.9,7990.07,31.8,11.6,56.6,9293,40.1,11.3,48.7
2013,190,Davidson County,PK-12,158,757,5576,76249,81134,25810,36767,15099,3215,147,41346,39788,31.8,45.3,18.6,4,0.2,51,49,13336,18423,7823,,65,12459,18336,7270,,69,14.7,11945,164,9749,12,53312,4642,57954,66.6,5.8,72.4,62090,76.5,11421.35,59.3,10.2,30.5,9293,40.1,11.3,48.7
2013,200,Decatur County,PK-12,4,11,125,1594,1685,1539,68,65,,,907,778,91.3,4,3.9,,,53.8,46.2,827,15,37,,,712,24,18,,,1.6,27,,346,20.5,839,110,949,49.7,6.5,56.3,1594,94.6,8715.65,24.5,10.8,64.7,9293,40.1,11.3,48.7
2013,210,DeKalb County,PK-12,6,14,202,2856,3027,2658,53,289,18,,1592,1435,87.8,1.8,9.5,0.6,,52.6,47.4,1386,17,160,,,1269,12,113,,,5.3,159,,472,15.6,1728,203,1931,57.1,6.7,63.8,2059,68,8104.75,20.2,13.9,65.9,9293,40.1,11.3,48.7
2013,220,Dickson County,PK-12,15,47,588,8149,8451,7382,649,326,56,38,4432,4019,87.4,7.7,3.9,0.7,0.4,52.4,47.6,3882,331,150,,,3485,311,146,,,1.5,127,,1397,16.5,3951,695,4646,47.4,8.3,55.8,2997,35.5,8379.13,33.8,7.8,58.4,9293,40.1,11.3,48.7
2013,230,Dyer County,PK-12,8,22,232,3642,3911,3483,302,114,,,2023,1888,89.1,7.7,2.9,,,51.7,48.3,1779,170,49,,,1703,116,49,,,0.6,22,,406,10.4,2072,399,2471,53,10.2,63.2,1882,48.1,8704.03,33.8,8.6,57.7,9293,40.1,11.3,48.7
2013,231,Dyersburg,PK-12,4,19,184,2673,2908,1499,1237,120,45,,1444,1464,51.5,42.5,4.1,1.5,,49.7,50.3,751,611,38,,,746,625,58,,,1.8,53,,457,15.7,1926,187,2113,66.2,6.4,72.6,1867,64.2,9836.74,34.6,12,53.5,9293,40.1,11.3,48.7
2013,240,Fayette County,PK-12,10,23,225,3500,3812,1426,2182,180,16,,2005,1807,37.4,57.2,4.7,0.4,,52.6,47.4,785,1111,71,,,637,1064,65,,,2,78,,507,13.3,2718,202,2920,71.3,5.3,76.6,3770,98.9,8913.48,31.4,14.3,54.3,9293,40.1,11.3,48.7
2013,250,Fentress County,PK-12,6,15,176,2205,2389,2330,,29,19,,1281,1108,97.5,,1.2,0.8,,53.6,46.4,1250,,10,,,1076,,,,,0.7,17,,399,16.7,1536,273,1809,64.3,11.4,75.7,2197,92,8971.86,20.3,14.4,65.3,9293,40.1,11.3,48.7
2013,260,Franklin County,PK-12,11,25,361,5425,5868,5216,383,209,44,13,3002,2866,88.9,6.5,3.6,0.7,0.2,51.2,48.8,2695,178,87,,,2520,199,101,,,1,59,,930,15.8,2756,631,3387,47,10.8,57.7,2238,38.1,8891.45,31.9,9.4,58.7,9293,40.1,11.3,48.7
2013,271,Humboldt,PK-12,4,12,94,1063,1205,256,883,60,,,626,579,21.2,73.3,5,,,52,48,147,438,20,,,98,438,20,,,2.2,26,,179,14.9,971,73,1044,80.5,6.1,86.6,870,72.2,11216.17,24,17.2,58.8,9293,40.1,11.3,48.7
2013,272,Milan,PK-12,3,18,136,1995,2122,1505,518,73,19,,1075,1047,70.9,24.4,3.4,0.9,,50.7,49.3,779,237,23,,,726,264,27,,,1.3,28,,345,16.3,1085,189,1274,51.2,8.9,60.1,1535,72.3,8432.48,28.2,9.6,62.2,9293,40.1,11.3,48.7
2013,273,Trenton,PK-12,3,7,97,1303,1420,931,415,69,,,757,663,65.6,29.2,4.9,,,53.3,46.7,496,215,37,,,435,196,23,,,2.2,31,,158,11.1,775,91,866,54.7,6.4,61.1,1302,91.7,8759.21,27.7,13.8,58.5,9293,40.1,11.3,48.7
2013,274,Bradford,PK-12,2,3,45,505,534,494,34,,,,246,288,92.5,6.4,,,,46.1,53.9,226,14,,,,268,14,,,,,,,70,13.1,264,46,310,49.4,8.6,58.1,541,101.3,10361.91,24.4,16.1,59.5,9293,40.1,11.3,48.7
2013,275,Gibson Co Sp Dist,PK-12,9,23,243,3772,3971,3593,301,60,13,,2026,1945,90.5,7.6,1.5,0.3,,51,49,1812,158,18,,,1776,126,14,,,0.4,16,,530,13.3,1310,421,1731,33,10.6,43.6,1101,27.7,7033.57,27.3,9.3,63.4,9293,40.1,11.3,48.7
2013,280,Giles County,PK-12,8,35,283,3904,4058,3249,678,67,42,15,2085,1973,80.1,16.7,1.7,1,0.4,51.4,48.6,1675,331,23,,,1573,338,28,,,0.6,23,,498,12.3,2083,416,2499,51.3,10.3,61.6,,,8768.8,33,9.6,57.4,9293,40.1,11.3,48.7
2013,290,Grainger County,PK-12,9,20,235,3501,3649,3444,22,180,,,1917,1732,94.4,0.6,4.9,,,52.5,47.5,1811,,81,,,1632,,81,,,2.8,102,,510,14,2074,505,2579,57.3,13.9,71.2,2579,70.7,7867.94,16.1,11.6,72.4,9293,40.1,11.3,48.7
2013,300,Greene County,PK-12,16,28,469,6884,7341,6999,92,210,16,22,3806,3535,95.3,1.3,2.9,0.2,0.3,51.8,48.2,3635,32,108,,,3358,48,94,,,0.9,66,,1261,17.2,4205,778,4983,57.3,10.6,67.9,6885,93.8,8070.36,26,11,63,9293,40.1,11.3,48.7
2013,301,Greeneville,PK-12,7,13,233,2674,2845,2295,273,203,44,24,1479,1366,80.7,9.6,7.1,1.5,0.8,52,48,1193,137,87,,,1091,127,92,,,2.6,73,,474,16.7,1218,148,1366,42.8,5.2,48,2315,81.4,10469.33,45,8.8,46.2,9293,40.1,11.3,48.7
2013,310,Grundy County,PK-12,8,11,172,2112,2310,2276,,20,,,1211,1099,98.5,,0.9,,,52.4,47.6,1191,,,,,1085,,,,,,,,459,19.9,1591,214,1805,69.6,9.4,79,1491,64.5,9485.32,15.2,14.8,70,9293,40.1,11.3,48.7
2013,320,Hamblen County,PK-12,18,45,669,9835,10266,7492,661,1913,116,47,5240,5026,73,6.4,18.6,1.1,0.5,51,49,3794,320,987,,14,3679,325,902,,19,10.5,1080,24,1146,11.2,5709,795,6504,55.8,7.8,63.5,3656,35.6,8102.77,35.1,10,54.9,9293,40.1,11.3,48.7
2013,330,Hamilton County,PK-12,79,212,3088,41699,43691,25501,13651,3376,998,119,22380,21311,58.4,31.2,7.7,2.3,0.3,51.2,48.8,13103,6961,1694,,67,12396,6672,1671,,46,4.9,2122,20,5552,12.7,22658,2866,25524,52.2,6.6,58.8,23408,53.6,9444.44,52.8,10.2,37.1,9293,40.1,11.3,48.7
2013,340,Hancock County,K-12,2,10,100,966,977,965,,,,,509,468,98.8,,,,,52.1,47.9,505,,,,,453,,,,,,,,187,19.1,685,95,780,70,9.7,79.8,965,98.8,9548.78,11.2,15,73.8,9293,40.1,11.3,48.7
2013,350,Hardeman County,PK-12,9,36,313,3787,4056,1786,2143,76,43,,2049,2007,44,52.8,1.9,1.1,,50.5,49.5,908,1067,24,,,878,1076,27,,,0.6,26,,632,15.6,2942,410,3352,72.5,10.1,82.6,2492,61.4,9321.42,23.9,11.3,64.8,9293,40.1,11.3,48.7
2013,360,Hardin County,PK-12,7,16,287,3487,3717,3393,202,98,15,,1925,1792,91.3,5.4,2.6,0.4,,51.8,48.2,1751,105,26,,,1639,86,30,,,0.5,19,,614,16.5,2207,267,2474,59.4,7.2,66.6,2419,65.1,9099.93,36.7,13.8,49.5,9293,40.1,11.3,48.7
2013,370,Hawkins County,PK-12,18,38,495,7176,7439,7129,120,156,19,12,3824,3615,95.8,1.6,2.1,0.3,0.2,51.4,48.6,3662,50,59,,,3467,55,70,,,0.4,28,,1157,15.6,4151,779,4930,55.8,10.5,66.3,4997,67.2,9015.71,27.7,11.9,60.5,9293,40.1,11.3,48.7
2013,371,Rogersville,PK-8,1,4,48,654,680,626,27,12,14,,339,341,92.1,4,1.8,2.1,,49.9,50.1,312,,,,,297,10,,,,2.2,15,,63,9.3,255,50,305,37.4,7.3,44.8,671,98.7,9092.58,34.8,6.7,58.5,9293,40.1,11.3,48.7
2013,380,Haywood County,PK-12,5,22,227,3069,3386,1016,2131,232,,,1750,1636,30,62.9,6.9,,,51.7,48.3,531,1087,120,,,483,1044,78,,,2.2,76,,412,12.2,2294,319,2613,67.7,9.4,77.1,3252,96,9243.35,22.4,16.9,60.8,9293,40.1,11.3,48.7
2013,390,Henderson County,PK-12,9,20,254,3726,3915,3509,309,86,,,1969,1946,89.6,7.9,2.2,,,50.3,49.7,1755,167,20,,,1748,136,32,,,0.4,16,,571,14.6,2045,395,2440,52.2,10.1,62.3,3726,95.2,8318.54,25.7,10.1,64.3,9293,40.1,11.3,48.7
2013,391,Lexington,PK-8,2,9,79,954,1018,707,245,46,19,,530,488,69.4,24.1,4.5,1.9,,52.1,47.9,375,117,14,,,332,124,14,,,2.5,25,,128,12.6,515,44,559,50.6,4.3,54.9,954,93.7,9772.23,28.8,13.6,57.6,9293,40.1,11.3,48.7
2013,400,Henry County,PK-12,6,23,206,3016,3179,2875,203,90,,,1660,1519,90.4,6.4,2.8,,,52.2,47.8,1491,114,32,,,1381,82,26,,,0.5,16,,438,13.8,1778,257,2035,55.9,8.1,64,2055,64.6,9185.87,35.4,11.7,53,9293,40.1,11.3,48.7
2013,401,Paris,K-8,3,6,118,1663,1779,1312,424,23,15,,900,879,73.7,23.8,1.3,0.8,,50.6,49.4,657,214,13,,,655,203,,,,,,,325,18.3,1004,91,1095,56.4,5.1,61.6,1663,93.5,8488.67,36.9,9.1,54,9293,40.1,11.3,48.7
2013,410,Hickman County,PK-12,8,17,267,3527,3687,3475,115,60,17,19,1931,1756,94.3,3.1,1.6,0.5,0.5,52.4,47.6,1818,49,20,,,1657,39,20,,,0.4,14,,634,17.2,2024,314,2338,54.9,8.5,63.4,,,8785.37,19.8,9.7,70.6,9293,40.1,11.3,48.7
2013,420,Houston County,PK-12,5,10,95,1329,1415,1295,70,32,,,747,668,91.5,4.9,2.3,,,52.8,47.2,687,28,,,,606,36,,,,,,,207,14.6,742,119,861,52.4,8.4,60.8,1329,93.9,8827.5,17.2,10.8,72.1,9293,40.1,11.3,48.7
2013,430,Humphreys County,PK-12,7,18,226,2821,3119,2929,126,43,11,,1604,1515,93.9,4,1.4,0.4,,51.4,48.6,1506,69,10,,,1421,43,15,,,0.5,15,,527,16.9,1211,248,1459,50.3,10.3,60.6,909,29.1,8739.04,26,8.6,65.4,9293,40.1,11.3,48.7
2013,440,Jackson County,PK-12,4,10,132,1491,1583,1552,11,17,,,830,753,98,0.7,1.1,,,52.4,47.6,812,,,,,740,,,,,,,,296,18.7,954,167,1121,60.3,10.5,70.8,1038,65.6,8866.8,19.8,12.9,67.4,9293,40.1,11.3,48.7
2013,450,Jefferson County,PK-12,12,38,474,7175,7551,6793,213,469,50,23,3859,3692,90,2.8,6.2,0.7,0.3,51.1,48.9,3475,98,234,,10,3310,100,226,,,3.6,269,,917,12.1,3925,725,4650,52,9.6,61.6,3914,51.8,8443.43,28.4,10.7,61,9293,40.1,11.3,48.7
2013,460,Johnson County,PK-12,7,17,161,2102,2329,2237,12,69,,,1220,1109,96,0.5,3,,,52.4,47.6,1179,,27,,,1058,,35,,,1.5,35,,413,17.7,1426,251,1677,61.2,10.8,72,1119,48,10379.16,23.6,13.4,63,9293,40.1,11.3,48.7
2013,470,Knox County,PK-12,88,438,3529,55796,58940,44343,9478,3391,1365,221,30396,28544,75.2,16.1,5.8,2.3,0.4,51.6,48.4,22979,4826,1720,,110,21345,4647,1654,,94,3.5,2051,54,8060,13.7,24283,3389,27672,41.4,5.8,47.2,14216,24.1,9077.22,53.9,9.4,36.7,9293,40.1,11.3,48.7
2013,480,Lake County,PK-12,3,10,81,854,960,640,294,25,,,537,423,66.7,30.6,2.6,,,55.9,44.1,358,154,12,,,280,132,,,,,,,196,20.4,669,54,723,69.6,5.6,75.2,854,89,10268.33,18.4,13.3,68.3,9293,40.1,11.3,48.7
2013,490,Lauderdale County,PK-12,7,29,331,4404,4724,2526,2008,133,14,40,2426,2298,53.5,42.5,2.8,0.3,0.8,51.4,48.6,1313,1014,61,,,1213,988,45,,10,1.1,52,,803,17,3388,407,3795,71.7,8.6,80.3,2989,63.3,8863.92,15.6,18.6,65.8,9293,40.1,11.3,48.7
2013,500,Lawrence County,PK-12,13,42,468,6508,6851,6478,187,146,27,13,3515,3336,94.6,2.7,2.1,0.4,0.2,51.3,48.7,3314,97,68,,,3162,73,47,,,0.4,27,,1055,15.4,3300,742,4042,48.2,10.8,59,4417,64.5,7951.57,22.9,11,66.2,9293,40.1,11.3,48.7
2013,510,Lewis County,PK-12,4,8,141,1831,1958,1821,66,46,13,10,1020,938,93,3.4,2.3,0.7,0.5,52.1,47.9,949,24,15,,,872,20,17,,,,,,263,13.4,1029,210,1239,52.6,10.7,63.3,1256,64.1,7729,18.4,10.7,70.9,9293,40.1,11.3,48.7
2013,520,Lincoln County,PK-12,8,23,272,3859,4141,3756,174,174,17,18,2099,2042,90.7,4.2,4.2,0.4,0.4,50.7,49.3,1899,96,72,,,1856,68,78,,,1.6,68,,562,13.6,1861,381,2242,44.9,9.2,54.1,2641,63.8,8180.48,26,9.2,64.9,9293,40.1,11.3,48.7
2013,521,Fayetteville,PK-11,3,11,91,1206,1372,869,427,65,,,732,640,63.3,31.1,4.7,,,53.4,46.6,466,221,33,,,400,199,15,,,1.2,17,,171,12.5,753,76,829,54.9,5.5,60.5,516,37.6,9101.4,30.2,10.8,59,9293,40.1,11.3,48.7
2013,530,Loudon County,PK-12,9,29,341,4725,5063,4370,133,507,42,11,2618,2445,86.3,2.6,10,0.8,0.2,51.7,48.3,2268,64,251,,,2096,60,230,,,3,152,16,661,13.1,2342,525,2867,46.3,10.4,56.6,3268,64.5,8553.41,24.2,51.5,24.4,9293,40.1,11.3,48.7
2013,531,Lenoir City,PK-12,3,20,156,2196,2341,1763,46,506,17,,1171,1170,75.3,2,21.6,0.7,,50,50,870,12,254,,,890,13,240,,,12.5,292,,345,14.7,1274,173,1447,54.4,7.4,61.8,1087,46.4,9353.46,46.8,6.6,46.6,9293,40.1,11.3,48.7
2013,540,McMinn County,PK-12,9,32,341,5758,6093,5465,329,235,43,20,3107,2986,89.7,5.4,3.9,0.7,0.3,51,49,2781,161,128,,,2684,162,97,,,0.5,33,,714,11.7,3110,625,3735,51,10.3,61.3,2945,48.3,8053.49,28.3,12,59.7,9293,40.1,11.3,48.7
2013,541,Athens,PK-8,5,9,112,1483,1708,1252,283,136,25,,903,805,73.3,16.6,8,1.5,,52.9,47.1,652,159,62,,,589,116,63,,,3.3,56,10,229,13.4,1044,156,1200,61.1,9.1,70.2,1484,86.9,10017.33,36.1,12.4,51.5,9293,40.1,11.3,48.7
2013,542,Etowah,PK-8,1,5,24,336,371,336,22,,,,191,180,90.6,5.9,,,,51.5,48.5,173,,,,,156,,,,,,,,76,20.5,241,32,273,65,8.6,73.6,336,90.6,9936.86,24.1,17,58.9,9293,40.1,11.3,48.7
2013,550,McNairy County,PK-12,8,24,354,4158,4422,3971,362,65,19,,2296,2126,89.8,8.2,1.5,0.4,,51.9,48.1,2047,189,30,,,1922,165,13,,,0.5,20,,555,12.6,2460,404,2864,55.6,9.1,64.7,2724,61.6,8400.3,21.1,11.2,67.6,9293,40.1,11.3,48.7
2013,560,Macon County,PK-12,8,22,237,3662,3844,3535,25,257,13,11,1948,1896,92,0.7,6.7,0.3,0.3,50.7,49.3,1785,,124,,,1749,,109,,,3,117,,605,15.7,2078,284,2362,54,7.4,61.4,1680,43.7,8097.47,18.2,10.7,71.1,9293,40.1,11.3,48.7
