 Record Id,FIPS Code,ST Agency,LEA Id,LEA NCES,School No,SCH NCES,School Name,Sch Type,Wed Address,Phone,Mailing Add 1,Mailing Add 2,Mailing Add 3,City,State,Zip,Zip + 4,Location Addr 1,Location Add 2,Location Add 3,City,State,Zip,Charter Status
42,47,01,0020,4700180,0078,00041,Thomas Magnet,1,volweb.utk.edu/school/bedford/thomas/,9316846818,515 Tate Avenue ,,,Shelbyville,TN,37160,,515 Tate Avenue ,,,Shelbyville,TN,37160,NO
43,47,01,0030,4700240,0004,00250,Benton Co Adult High School,3,,7315841455,175 Briarwood ST,,,Camden,TN,38320,,175 Briarwood AV,,,Camden,TN,38320,NO
44,47,01,0030,4700240,0009,01828,Benton County Career / Technical Center,1,,7315844492,155 Schools DR,,,Camden,TN,38320,,155  Schools  DR,,,Camden,TN,38320,NO
45,47,01,0030,4700240,0010,00049,Big Sandy School,1,,7315933221,13305 Highway  69 A ,,,Big Sandy,TN,38221,,13305 Highway  69 A ,,,Big Sandy,TN,38221,NO
46,47,01,0030,4700240,0015,00050,Briarwood School,1,,7315844257,169 Briarwood AV,,,Camden,TN,38320,,169 Briarwood ST,,,Camden,TN,38320,NO
47,47,01,0030,4700240,0020,00051,Camden Elementary,1,www.bcos.org/ces/,7315844918,208 Washington AV,,,Camden,TN,38320,,208  Washington  AV,,,Camden,TN,38320,NO
48,47,01,0030,4700240,0025,00052,Camden Central High School,1,,7315847254,115 Schools DR,,,Camden,TN,38320,,115  Schools  DR,,,Camden,TN,38320,NO
49,47,01,0030,4700240,0027,01033,Camden Jr High School,1,www.bcos.org/cjhs,7315844518,75 Schools DR,,,Camden,TN,38320,,75  Schools  DR,,,Camden,TN,38320,NO
50,47,01,0030,4700240,0030,00053,Holladay Elementary,1,,7315846874,148 Stokes RD,,,Holladay,TN,38341,,148  Stokes  RD,,,Holladay,TN,38341,NO
51,47,01,0040,4700270,0005,00055,Bledsoe County High School,1,www.bledsoe.k12.tn.us/bchs/home.html,4234476851,877 Main ST,,,Pikeville,TN,37367,,877 Main ST,,,Pikeville,TN,37367,NO
52,47,01,0040,4700270,0006,01035,Bledsoe County Middle School,1,www.bledsoe.k12.tn.us/bcms/home.html,4234473212,Route 6 Box 7,,,Pikeville,TN,37367,,857 Main Street,,,Pikeville,TN,37367,NO
53,47,01,0040,4700270,0010,00057,Cecil B Rigsby Elementary,1,www.bledsoe.k12.tn.us/res/home.html,4234472891,8231 New Harmony RD,,,Pikeville,TN,37367,,8231 New Harmony RD,,,Pikeville,TN,37367,NO
54,47,01,0040,4700270,0025,00059,Mary V Wheeler Elementary,1,www.bledsoe.k12.tn.us/wes/home.html,4238813394,Rt 4 Box 155,,,Pikeville,TN,37367,,33073 SR 30,,,Pikeville,TN,37367,NO
55,47,01,0040,4700270,0030,00060,Pikeville Elementary,1,www.bledsoe.k12.tn.us/pes/home.html,4234472457,Route 6 Box 3,,,Pikeville,TN,37367,,41068 SE 30,,,Pikeville,TN,37367,NO
56,47,01,0040,4700270,1010,00879,Bledsoe County Vocational Center,3,,4234472914,26297 US Highway 127,,,Dunlap,TN,37327,,26297 US Highway 127,,,Dunlap,TN,37327,NO
57,47,01,0050,4700300,0022,02099,Carpenters Elementary School,1,http://www.wix.com/divedaseas/ces,8659801490,915 Huffstetler RD,,,Maryville,TN,37803,,915 Huffstetler RD,,,Maryville,TN,37803,NO
58,47,01,0050,4700300,0023,01387,Carpenters Middle School,1,http://web.me.com/carpentersms/cms/home.htm,8659801414,920 Huffstetler RD,,,Maryville,TN,37803,,920 Huffstetler RD,,,Maryville,TN,37803,NO
59,47,01,0050,4700300,0030,00065,Eagleton Middle School,1,https://sites.google.com/a/blountk12.org/eagleton-middle-school/,8659823211,2610 Cinema DR,,,Maryville,TN,37804,,2610 Cinema DR,,,Maryville,TN,37804,NO
60,47,01,0050,4700300,0038,00882,Everett Learning Opportunity Center,4,,8659841212,1500 Jett,,,Maryville,TN,37804,,1500 Jett,,,Maryville,TN,37804,NO
61,47,01,0050,4700300,0043,01669,Eagleton Elementary,1,http://www.blountk12.org/schools/ees/home.htm,8659801455,708 Sam Houston School RD,,,Maryville,TN,37804,5631,708 Sam Houston School RD,,,Maryville,TN,37804,NO
62,47,01,0050,4700300,0045,00068,Fairview Elementary,1,http://www.blountk12.org/schools/fves/home.html,8659820630,2130  Old  Niles Ferry ,,,Maryville,TN,37803,,2130  Old  Niles Ferry ,,,Maryville,TN,37803,NO
63,47,01,0050,4700300,0055,00070,Friendsville Elementary,1,https://sites.google.com/a/blountk12.org/friendsville-elementary/,8659801252,210 E  4th AV,,,Friendsville,TN,37777,,210 E  4th AV,,,Friendsville,TN,37777,NO
64,47,01,0050,4700300,0061,01041,Heritage Middle School,1,http://www.blountk12.org/schools/hms/Heritage_Middle_School.html,8659801300,3737  E  Lamar Alex Pkwy ,,,Maryville,TN,37804,,3737  E  Lamar Alex Pkwy ,,,Maryville,TN,37804,NO
65,47,01,0050,4700300,0063,00072,Heritage High School,1,http://www.blountk12.org/schools/hhs/index.php,8659848110,3741  E  Lamar Alex Pkwy ,,,Maryville,TN,37804,,3741  E  Lamar Alex Pkwy ,,,Maryville,TN,37804,NO
66,47,01,0050,4700300,0070,00074,Lanier Elementary,1,http://sites.google.com/site/lanier6006/,8659801051,6006 Lanier RD,,,Maryville,TN,37742,,6006 Lanier RD,,,Maryville,TN,37742,NO
67,47,01,0050,4700300,0084,01652,Union Grove Middle School,1,http://www.blountk12.org/schools/ugm/index.html,8659801320,334 South Old Grey Ridge RD,,,Friendsville,TN,37737,,334 South Old Grey Ridge RD,,,Friendsville,TN,37737,NO
68,47,01,0050,4700300,0090,01991,Mary Blount Elementary,1,http://www.blountk12.org/schools/mbe/Mary_Blount_Elementary.htm,8659801430,131 South Old Glory RD,,,Maryville,TN,37801,,131 South Old Glory RD,,,Maryville,TN,37801,NO
69,47,01,0050,4700300,0093,01873,Middlesettlements,1,http://www.blountk12.org/schools/mse/middlehome.html,8659836644,3105  Miser  Station RD,,,Louisville,TN,37777,,3105  Miser  Station RD,,,Louisville,TN,37777,NO
70,47,01,0050,4700300,0094,01916,Montvale Elementary,1,http://www.blountk12.org/schools/mve/index.html,8659832666,3128  Montvale  RD,,,Maryville,TN,37803,,3128  Montvale  RD,,,Maryville,TN,37803,NO
71,47,01,0050,4700300,0095,00078,Porter Elementary,1,http://www.blountk12.org/schools/pes/index.htm,8659834071,4520  Wildwood  Springs RD,,,Maryville,TN,37804,,4520  Wildwood  Springs RD,,,Maryville,TN,37804,NO
72,47,01,0050,4700300,0110,00081,Rockford Elementary,1,http://www.blountk12.org/schools/res/rockhome.html,8659821415,3728  Williams  Mill RD,,,Rockford,TN,37853,,3728  Williams  Mill RD,,,Rockford,TN,37853,NO
73,47,01,0050,4700300,0125,00084,Townsend Elementary,1,http://www.blountk12.org/schools/tes/index.html,8659801202,140 Tiger DR,,,Townsend,TN,37882,,140 Tiger DR,,,Townsend,TN,37882,NO
74,47,01,0050,4700300,0138,02164,Union Grove Elementary School,1,https://sites.google.com/a/blountk12.org/uges/home,8659801515,330 South Old Grey Ridge RD,,,Friendsville,TN,37737,,330 South Old Grey Ridge RD,,,Friendsville,TN,37737,NO
75,47,01,0050,4700300,0145,00086,Walland Elementary School,1,http://sites.google.com/site/wallandschool/home,8659832801,247  E  Millers Cove RD,,,Walland,TN,37886,,247  E  Millers Cove RD,,,Walland,TN,37886,NO
76,47,01,0050,4700300,0155,01830,William Blount High School,1,http://www.wbgovs.com/govs/,8659845500,219  County  Farm RD,,,Maryville,TN,37801,,219  County  Farm RD,,,Maryville,TN,37801,NO
77,47,01,0050,4700300,0160,02266,Prospect Elementary School,1,,8659801565,1535 Burnett Station RD,,,Seymour,TN,37865,,1535 Burnett Station RD,,,Seymour,TN,37865,NO
78,47,01,0051,4700060,0005,00234,Alcoa Elementary,1,www.alcoaschools.net/AES/default.html,8659823120,1200  Springbrook  RD,,,Alcoa,TN,37701,,1200  Springbrook  RD,,,Alcoa,TN,37701,NO
79,47,01,0051,4700060,0006,00236,Alcoa Middle School,1,www.alcoaschools.net/AMS/default.html,8659825211,1325 Springbrook RD,,,Alcoa,TN,37701,,1325 Springbrook RD,,,Alcoa,TN,37701,NO
80,47,01,0051,4700060,0010,00235,Alcoa High School,1,www.alcoaschools.net/AHS/default.html,8659824631,532  Faraday  ST,,,Alcoa,TN,37701,,532  Faraday  ST,,,Alcoa,TN,37701,NO
81,47,01,0052,4702700,0005,00956,Fort Craig,1,,8659827121,520 S Washington,,,Maryville,TN,37804,,520 S Washington,,,Maryville,TN,37804,NO
82,47,01,0052,4702700,0010,00957,John Sevier Elementary,1,www.maryvillecityschools.k12.tn.us/jse,8659838551,2001  Sequoyah  Avenue ,,,Maryville,TN,37804,,2001  Sequoyah  Avenue ,,,Maryville,TN,37804,NO
83,47,01,0052,4702700,0015,00958,Maryville High School,1,www.maryvillecityschools.k12.tn.us/mhs,8659821132,825  Lawrence  AV,,,Maryville,TN,37803,,825  Lawrence  AV,,,Maryville,TN,37803,NO
84,47,01,0052,4702700,0018,01242,Montgomery Ridge Intermediate School,1,www.maryvillecityschools.k12.tn.us/mris,8659800590,835 Montgomery LA,,,Maryville,TN,37803,,835 Montgomery LA,,,Maryville,TN,37803,NO
85,47,01,0052,4702700,0020,00959,Maryville Junior High School,1,www.maryvillecityschools.k12.tn.us/mjhs,8659832070,805  Montvale  Sta RD,,,Maryville,TN,37803,,805  Montvale  Sta RD,,,Maryville,TN,37803,NO
86,47,01,0052,4702700,0025,00960,Sam Houston Elementary,1,www.maryvillecityschools.k12.tn.us/she,8659833241,330  Melrose  ST,,,Maryville,TN,37803,,330  Melrose  ST,,,Maryville,TN,37803,NO
87,47,01,0052,4702700,0030,00360,Foothills Elementary,1,www.maryvillecityschools.k12.tn.us/fhe,8656810364,520 Sandy Springs RD,,,Maryville,TN,37803,,520 Sandy Springs RD,,,Maryville,TN,37803,NO
88,47,01,0052,,0035,,Coulter Grove Intermediate School,1,www.maryvillecityschools.k12.tn.us/cgis,8659826345,2025 Sevierville RD,,,Maryville,TN,37804,,2025 Sevierville RD,,,Maryville,TN,37804,NO
89,47,01,0060,4700330,0010,00087,Black Fox Elementary,1,,4234788800,3119 S W Varnell RD,,,Cleveland,TN,37311,,3119 Sw Varnell RD,,,Cleveland,TN,37311,NO
90,47,01,0060,4700330,0018,00089,Ocoee Middle School,1,,4234760630,2250  N  Ocoee ST,,,Cleveland,TN,37311,,2250 North Ocoee ST,,,Cleveland,TN,37311,NO
91,47,01,0060,4700330,0020,00090,Bradley Central High School,1,,4234760650,1000 South Lee HW,,,Cleveland,TN,37311,,1000  South  Lee Highway ,,,Cleveland,TN,37311,NO
92,47,01,0060,4700330,0030,00092,Charleston Elementary,1,,4233362232, P.O. Box 435 ,,,Charleston,TN,37310,,8797 Hiwassee ST,,,Charleston,TN,37310,NO
93,47,01,0060,4700330,0040,00094,Hopewell Elementary,1,,4234788802,5350  Freewill  Nw RD,,,Cleveland,TN,37312,,5350 Nw Freewill RD,,,Cleveland,TN,37312,NO
94,47,01,0060,4700330,0050,00096,Michigan Avenue,1,,4234788807,188 Michigan Ave. N E ,,,Cleveland,TN,37312,,188 Michigan Ave. N E AV,,,Cleveland,TN,37312,NO
95,47,01,0060,4700330,0053,00293,N. Cleveland GOAL Academy,1,,4234760699,209 Sunset DR,,,Cleveland,TN,37311,,209 Sunset DR,,,Cleveland,TN,37311,NO
96,47,01,0060,4700330,0055,00098,North Lee Elementary,1,,4234788809,205 Sequoia DR,,,Cleveland,TN,37312,,205 Sequoia DR,,,Cleveland,TN,37312,NO
97,47,01,0060,4700330,0060,00099,Oak Grove Elementary,1,,4234788812,400 S E Durkee RD,,,Cleveland,TN,37323,,400 S E Durkee RD,,,Cleveland,TN,37323,NO
98,47,01,0060,4700330,0065,00100,Prospect Elementary,1,,4234788814,2450 N W Prospect School RD,,,Cleveland,TN,37312,,2450 N W Prospect School RD,,,Cleveland,TN,37312,NO
99,47,01,0060,4700330,0068,01848,Reach Adult High School,1,,4234738473,P. O. Box 3570,,,Cleveland,TN,37320,3750,1450 Strawberry Lane,,,Cleveland,TN,37311,NO
100,47,01,0060,4700330,0070,00101,Taylor Elementary,1,taylor.bradleyschools.org,4234788817,5265 S E Bates PK,,,Cleveland,TN,37323,,5265 Bates PK,,,Cleveland,TN,37323,NO
101,47,01,0060,4700330,0072,00104,Lake Forest Middle School,1,,4234788821,610 Kile  Lake S E RD,,,Cleveland,TN,37323,,610 Se Kile Lake RD,,,Cleveland,TN,37323,NO
102,47,01,0060,4700330,0075,00105,Valley View Elementary,1,,4234788825,5607 S E Spring Place RD,,,Cleveland,TN,37323,,5607 S E Spring Place RD,,,Cleveland,TN,37323,NO
103,47,01,0060,4700330,0078,01388,Walker Valley High School,1,,4233361383,750 Lauderdale Memorial Hwy.NW,,,Cleveland,TN,37312,,750 Lauderdale Memorial Hwy.NW,,,Cleveland,TN,37312,NO
104,47,01,0060,4700330,0100,00106,Waterville Community Elementary,1,,4234788827,4081 Dalton Pike S. E. ,,,Cleveland,TN,37323,,4081 Dalton Pike S. E. ,,,Cleveland,TN,37323,NO
105,47,01,0060,4700330,0102,02224,Parkview Elementary School,1,,4234760620,300 Minnis RD,,,Cleveland,TN,37323,,300 Minnis RD,,,Cleveland,TN,37323,NO
106,47,01,0060,,0105,,Bradley County Virtual School,1,,4234738473,1450 Strawberry LA,,,Cleveland,TN,37311,,1450 Strawberry LA,,,Cleveland,TN,37311,NO
107,47,01,0061,4700690,0010,00263,Arnold Memorial Elementary School,1,,4234722241,473  8th  N W ST,,,Cleveland,TN,37311,,473  8th  N W ST,,,Cleveland,TN,37311,NO
108,47,01,0061,4700690,0012,00270,Blythe- Bower Elementary,1,,4234795121,604  20th  S E ST,,,Cleveland,TN,37311,,604  20th  S E ST,,,Cleveland,TN,37311,NO
109,47,01,0061,4700690,0018,00266,Cleveland Middle School,1,,4234799641,3635 Georgetown Road N. W. ,,,Cleveland,TN,37312,,3635 Georgetown Road N. W. ,,,Cleveland,TN,37312,NO
110,47,01,0061,4700690,0020,00265,Cleveland High School,1,www.clevelandschools.org/chs/chsindex.html,4234781113,850 Raider DR,,,Cleveland,TN,37312,,850  Raider  DR,,,Cleveland,TN,37312,NO
111,47,01,0061,4700690,0021,00061,Donald P Yates Prim,1,,4234791723,750  Mouse  Creek Nw RD,,,Cleveland,TN,37323,,750  Mouse  Creek Nw RD,,,Cleveland,TN,37323,NO
112,47,01,0061,4700690,0022,00267,Ernest L Ross,1,,4234797274,4340  Mouse  Creek RD,,,Cleveland,TN,37312,,4340  Mouse  Creek RD,,,Cleveland,TN,37312,NO
113,47,01,0061,4700690,0025,00268,George R Stuart,1,www.clevelandschools.org/grs/,4234768246,802  20th  Nw ST,,,Cleveland,TN,37311,,802  20th  Nw ST,,,Cleveland,TN,37311,NO
114,47,01,0061,4700690,0030,00269,Mayfield Elementary,1,,4234724541,501 20th Street NE ,,,Cleveland,TN,37311,,501 20th Street NE ,,,Cleveland,TN,37311,NO
115,47,01,0070,4700420,0002,00886,Campbell Co Adult High School,1,,4235665436, P O Box 445 ,,,Jacksboro,TN,37757,,318 W. Beech ST,,,Jacksboro,TN,37757,NO
116,47,01,0070,4700420,0003,00117,Campbell County Comprehensive High School,1,,4235628308,150  Cougar  LA,,,Jacksboro,TN,37757,,150  Cougar  LA,,,Jacksboro,TN,37757,NO
117,47,01,0070,4700420,0005,00118,Caryville Elementary,1,,4235622687,120 Cardinal CR,,,Caryville,TN,37714,,120 Cardinal CR,,,Caryville,TN,37714,NO
118,47,01,0070,4700420,0040,00121,Elk Valley Elementary,1,,4237846866,6691  Hwy  297 ,,,Pioneer,TN,37847,,6691  Hwy  297 ,,,Pioneer,TN,37847,NO
119,47,01,0070,4700420,0060,00122,Jacksboro Elementary,1,,4235627433,P O Box 437,,,Jacksboro,TN,37757,,164 Jacksboro Elem School RD,,,Jacksboro,TN,37757,NO
120,47,01,0070,4700420,0065,00123,Jacksboro Middle School,1,,4235623773,150 Eagle CR,,,Jacksboro,TN,37757,,150 Eagle CR,,,Jacksboro,TN,37757,NO
121,47,01,0070,4700420,0070,00124,Jellico Elementary,1,,4237846565,551  Sunset  TR,,,Jellico,TN,37762,,551  Sunset  TR,,,Jellico,TN,37762,NO
122,47,01,0070,4700420,0075,00125,Jellico High School,1,,4237839455,141 High  School LA,,,Jellico,TN,37762,,141 High  School LA,,,Jellico,TN,37762,NO
123,47,01,0070,4700420,0077,02128,LaFollette Elementary School,1,,4235623439,195 Myers LN ,,,LaFollette,TN,37766,,195 Myers LN ,,,LaFollette,TN,37766,NO
124,47,01,0070,4700420,0080,00127,Lafollette Middle School,1,,4235628448,1309 East Central AV,,,La Follette,TN,37766,,1309 East Central AV,,,La Follette,TN,37766,NO
125,47,01,0070,4700420,0135,00135,Valley View Elementary,1,,4235625278,1187 Old  Middlesboro HW,,,LaFollette,TN,37766,,1187 Old  Middlesboro HW,,,LaFollette,TN,37766,NO
126,47,01,0070,4700420,0140,00136,White Oak Elementary,1,,4237846051,5634  White  Oak RD,,,Duff,TN,37729,,5634  White  Oak RD,,,Duff,TN,37729,NO
127,47,01,0070,4700420,0150,00138,Wynn Habersham Elementary,1,,4237849482,174  Habersham  RD,,,Duff,TN,37729,,174  Habersham  RD,,,Duff,TN,37729,NO
128,47,01,0080,4700450,0005,00139,Auburn Elementary,1,,6154644342,150  Vantrease  AV,,,Auburntown,TN,37016,,150  Vantrease  AV,,,Auburntown,TN,37016,NO
129,47,01,0080,4700450,0016,00140,Cannon County High School,1,,6155632144,1  Lion  DR,,,Woodbury,TN,37190,,1  Lion  DR,,,Woodbury,TN,37190,NO
130,47,01,0080,4700450,0020,00141,East Side Elementary,1,,6155634196,5658  McMinnville  HW,,,Woodbury,TN,37190,,5658  McMinnville  HW,,,Woodbury,TN,37190,NO
131,47,01,0080,4700450,0030,00142,Short Mountain Elementary,1,,6155634418,5988 Short Mountain RD,,,Woodbury,TN,37190,,5988 Short Mountain RD,,,Woodbury,TN,37190,NO
132,47,01,0080,4700450,0035,00143,West Side Elementary,1,,6155634482,3714  Murfreesboro  RD,,,Readyville,TN,37149,,3714  Murfreesboro  RD,,,Readyville,TN,37149,NO
133,47,01,0080,4700450,0040,00144,Woodbury Grammar,1,,6155632220,530 West Adams ST,,,Woodbury,TN,37190,,530 West Adams ST,,,Woodbury,TN,37190,NO
134,47,01,0080,4700450,0045,00145,Woodland Elementary,1,,6157655498,8383 Jim Cummings HW,,,Bradyville,TN,37026,,8383 Jim Cummings HW,,,Bradyville,TN,37026,NO
135,47,01,0090,4700480,0007,01917,Carroll Co Tech Center,3,,7319868908,1235 Buena Vista RD,,,Huntingdon,TN,38344,,1235 Buena Vista RD,,,Huntingdon,TN,38344,NO
136,47,01,0090,4700480,0009,01874,Carroll County Special Learning Center,2,,7319864482,P. O. Box 799,,,Huntingdon,TN,38344,,14155 Paris Rd,,,Huntingdon,TN,38344,NO
137,47,01,0092,4701890,0005,00627,Central Elementary,1,,7315862171,P O Box 135,,,Bruceton,TN,38317,,2590 West Broad ST,,,Bruceton,TN,38317,NO
138,47,01,0092,4701890,0010,00628,Central High School,1,,7315862161, P O Box 135 ,,,Bruceton,TN,38317,,2590 West Broad ST,,,Bruceton,TN,38317,NO
