year,district,school,district_name,school_name,subject,grade,subgroup,valid_tests,pct_below_bsc,pct_bsc,pct_bsc_and_below,pct_prof,pct_adv,pct_prof_adv
2013,10,0,Anderson County,District,Math,7th,Black/Hispanic/Native American,28,32.1,28.6,60.7,25,14.3,39.3
2013,10,0,Anderson County,District,RLA,3rd through 8th,All Students,3017,11.5,42.4,53.9,36.2,9.9,46.1
2013,10,0,Anderson County,District,RLA,3rd through 8th,White,2916,11.4,42,53.4,36.5,10.1,46.6
2013,10,0,Anderson County,District,RLA,3rd through 8th,Hispanic,16,6.1,31.3,37.4,56.3,6.3,62.6
2013,10,0,Anderson County,District,RLA,3rd through 8th,Black,71,19.8,56.3,76.1,18.3,5.6,23.9
2013,10,0,Anderson County,District,RLA,3rd through 8th,Asian,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,3rd through 8th,Native American,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,3rd through 8th,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,RLA,3rd through 8th,Economically Disadvantaged,1843,15.2,47.8,63,30.5,6.5,37
2013,10,0,Anderson County,District,RLA,3rd through 8th,Students with Disabilities,554,30,51.8,81.8,12.1,6.1,18.2
2013,10,0,Anderson County,District,RLA,3rd through 8th,English Language Learners,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,3rd through 8th,Black/Hispanic/Native American,92,17.4,51.1,68.5,26.1,5.4,31.5
2013,10,0,Anderson County,District,RLA,3rd,All Students,452,12.9,46.2,59.1,33.6,7.3,40.9
2013,10,0,Anderson County,District,RLA,3rd,White,439,12.8,45.8,58.6,33.9,7.5,41.4
2013,10,0,Anderson County,District,RLA,3rd,Hispanic,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,3rd,Black,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,3rd,Asian,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,3rd,Native American,,,,,,,
2013,10,0,Anderson County,District,RLA,3rd,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,RLA,3rd,Economically Disadvantaged,307,17,52.1,69.1,26.7,4.2,30.9
2013,10,0,Anderson County,District,RLA,3rd,Students with Disabilities,95,28.4,49.5,77.9,16.8,5.3,22.1
2013,10,0,Anderson County,District,RLA,3rd,English Language Learners,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,3rd,Black/Hispanic/Native American,11,18.2,54.5,72.7,27.3,0,27.3
2013,10,0,Anderson County,District,RLA,7th,All Students,578,16.4,36.5,52.9,32.7,14.4,47.1
2013,10,0,Anderson County,District,RLA,7th,White,551,16,36.1,52.1,33.2,14.7,47.9
2013,10,0,Anderson County,District,RLA,7th,Hispanic,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,7th,Black,21,28.6,38.1,66.7,23.8,9.5,33.3
2013,10,0,Anderson County,District,RLA,7th,Asian,,,,,,,
2013,10,0,Anderson County,District,RLA,7th,Native American,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,7th,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,RLA,7th,Economically Disadvantaged,333,21.1,39.3,60.4,29.1,10.5,39.6
2013,10,0,Anderson County,District,RLA,7th,Students with Disabilities,99,40.4,37.4,77.8,10.1,12.1,22.2
2013,10,0,Anderson County,District,RLA,7th,English Language Learners,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,RLA,7th,Black/Hispanic/Native American,27,26,44.4,70.4,22.2,7.4,29.6
2013,10,0,Anderson County,District,Algebra I,9th through 12th,All Students,522,7.7,18,25.7,35.2,39.1,74.3
2013,10,0,Anderson County,District,Algebra I,9th through 12th,White,503,7.7,17.7,25.4,34.8,39.8,74.6
2013,10,0,Anderson County,District,Algebra I,9th through 12th,Hispanic,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Algebra I,9th through 12th,Black,12,8.3,25,33.3,50,16.7,66.7
2013,10,0,Anderson County,District,Algebra I,9th through 12th,Asian,,,,,,,
2013,10,0,Anderson County,District,Algebra I,9th through 12th,Native American,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Algebra I,9th through 12th,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,Algebra I,9th through 12th,Economically Disadvantaged,280,11.4,19.3,30.7,39.3,30,69.3
2013,10,0,Anderson County,District,Algebra I,9th through 12th,Students with Disabilities,80,26.1,26.3,52.4,31.3,16.3,47.6
2013,10,0,Anderson County,District,Algebra I,9th through 12th,English Language Learners,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Algebra I,9th through 12th,Black/Hispanic/Native American,19,5.2,26.3,31.5,47.4,21.1,68.5
2013,10,0,Anderson County,District,Algebra II,9th through 12th,All Students,509,22.4,36.5,58.9,23,18.1,41.1
2013,10,0,Anderson County,District,Algebra II,9th through 12th,White,496,22.2,36.1,58.3,23.4,18.3,41.7
2013,10,0,Anderson County,District,Algebra II,9th through 12th,Hispanic,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Algebra II,9th through 12th,Black,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Algebra II,9th through 12th,Asian,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,Algebra II,9th through 12th,Native American,,,,,,,
2013,10,0,Anderson County,District,Algebra II,9th through 12th,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,Algebra II,9th through 12th,Economically Disadvantaged,244,27.4,42.6,70,19.3,10.7,30
2013,10,0,Anderson County,District,Algebra II,9th through 12th,Students with Disabilities,31,51.7,41.9,93.6,3.2,3.2,6.4
2013,10,0,Anderson County,District,Algebra II,9th through 12th,English Language Learners,,,,,,,
2013,10,0,Anderson County,District,Algebra II,9th through 12th,Black/Hispanic/Native American,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English II,9th through 12th,All Students,543,8.5,31.3,39.8,53.6,6.6,60.2
2013,10,0,Anderson County,District,English II,9th through 12th,White,533,8.4,31,39.4,54,6.6,60.6
2013,10,0,Anderson County,District,English II,9th through 12th,Hispanic,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English II,9th through 12th,Black,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English II,9th through 12th,Asian,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English II,9th through 12th,Native American,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English II,9th through 12th,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,English II,9th through 12th,Economically Disadvantaged,286,11.2,38.1,49.3,47.6,3.1,50.7
2013,10,0,Anderson County,District,English II,9th through 12th,Students with Disabilities,85,30.5,42.4,72.9,22.4,4.7,27.1
2013,10,0,Anderson County,District,English II,9th through 12th,English Language Learners,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English II,9th through 12th,Black/Hispanic/Native American,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English III,9th through 12th,All Students,440,26.8,42.3,69.1,23.9,7,30.9
2013,10,0,Anderson County,District,English III,9th through 12th,White,429,26.8,42.2,69,24,7,31
2013,10,0,Anderson County,District,English III,9th through 12th,Hispanic,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English III,9th through 12th,Black,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English III,9th through 12th,Asian,*,*,*,*,*,*,*
2013,10,0,Anderson County,District,English III,9th through 12th,Native American,,,,,,,
2013,10,0,Anderson County,District,English III,9th through 12th,Hawaiian or Pacific Islander,,,,,,,
2013,10,0,Anderson County,District,English III,9th through 12th,Economically Disadvantaged,220,33.6,44.1,77.7,16.4,5.9,22.3
2013,10,0,Anderson County,District,English III,9th through 12th,Students with Disabilities,54,***,***,***,***,***,***
2013,10,0,Anderson County,District,English III,9th through 12th,English Language Learners,,,,,,,
2013,10,0,Anderson County,District,English III,9th through 12th,Black/Hispanic/Native American,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd through 8th,All Students,471,6.2,22.3,28.5,47.1,24.4,71.5
2013,11,0,Clinton,District,Math,3rd through 8th,White,428,6.6,21,27.6,48.1,24.3,72.4
2013,11,0,Clinton,District,Math,3rd through 8th,Hispanic,11,0,27.2,27.2,36.4,36.4,72.8
2013,11,0,Clinton,District,Math,3rd through 8th,Black,23,0,52.2,52.2,34.8,13,47.8
2013,11,0,Clinton,District,Math,3rd through 8th,Asian,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd through 8th,Native American,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd through 8th,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd through 8th,Economically Disadvantaged,258,9,26.7,35.7,43.8,20.5,64.3
2013,11,0,Clinton,District,Math,3rd through 8th,Students with Disabilities,69,21.8,39.1,60.9,24.6,14.5,39.1
2013,11,0,Clinton,District,Math,3rd through 8th,English Language Learners,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd through 8th,Black/Hispanic/Native American,35,2.8,42.9,45.7,34.3,20,54.3
2013,11,0,Clinton,District,Math,3rd,All Students,133,3,17.3,20.3,56.4,23.3,79.7
2013,11,0,Clinton,District,Math,3rd,White,121,3.3,16.5,19.8,57.9,22.3,80.2
2013,11,0,Clinton,District,Math,3rd,Hispanic,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd,Black,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd,Asian,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd,Native American,,,,,,,
2013,11,0,Clinton,District,Math,3rd,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,11,0,Clinton,District,Math,3rd,Economically Disadvantaged,66,4.6,22.7,27.3,51.5,21.2,72.7
2013,11,0,Clinton,District,Math,3rd,Students with Disabilities,17,17.6,29.4,47,41.2,11.8,53
2013,11,0,Clinton,District,Math,3rd,English Language Learners,,,,,,,
2013,11,0,Clinton,District,Math,3rd,Black/Hispanic/Native American,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd through 8th,All Students,471,3.4,29.5,32.9,51.6,15.5,67.1
2013,11,0,Clinton,District,RLA,3rd through 8th,White,430,3.7,29.1,32.8,52.1,15.1,67.2
2013,11,0,Clinton,District,RLA,3rd through 8th,Hispanic,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd through 8th,Black,23,0,47.8,47.8,43.5,8.7,52.2
2013,11,0,Clinton,District,RLA,3rd through 8th,Asian,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd through 8th,Native American,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd through 8th,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd through 8th,Economically Disadvantaged,258,3.9,35.3,39.2,46.5,14.3,60.8
2013,11,0,Clinton,District,RLA,3rd through 8th,Students with Disabilities,70,10,50,60,28.6,11.4,40
2013,11,0,Clinton,District,RLA,3rd through 8th,English Language Learners,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd through 8th,Black/Hispanic/Native American,33,0,42.4,42.4,39.4,18.2,57.6
2013,11,0,Clinton,District,RLA,3rd,All Students,134,2.2,33.6,35.8,49.3,14.9,64.2
2013,11,0,Clinton,District,RLA,3rd,White,122,2.5,34.4,36.9,50,13.1,63.1
2013,11,0,Clinton,District,RLA,3rd,Hispanic,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd,Black,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd,Asian,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd,Native American,,,,,,,
2013,11,0,Clinton,District,RLA,3rd,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,11,0,Clinton,District,RLA,3rd,Economically Disadvantaged,67,3,43.3,46.3,43.3,10.4,53.7
2013,11,0,Clinton,District,RLA,3rd,Students with Disabilities,18,11.1,72.2,83.3,5.6,11.1,16.7
2013,11,0,Clinton,District,RLA,3rd,English Language Learners,,,,,,,
2013,11,0,Clinton,District,RLA,3rd,Black/Hispanic/Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Math,3rd through 8th,All Students,2027,8.6,29.5,38.1,34.2,27.7,61.9
2013,12,0,Oak Ridge,District,Math,3rd through 8th,White,1431,7,26.6,33.6,35.2,31.2,66.4
2013,12,0,Oak Ridge,District,Math,3rd through 8th,Hispanic,162,11.1,35.2,46.3,30.2,23.5,53.7
2013,12,0,Oak Ridge,District,Math,3rd through 8th,Black,331,14.8,41.4,56.2,34.1,9.7,43.8
2013,12,0,Oak Ridge,District,Math,3rd through 8th,Asian,82,3.6,17.1,20.7,29.3,50,79.3
2013,12,0,Oak Ridge,District,Math,3rd through 8th,Native American,13,15.3,46.2,61.5,7.7,30.8,38.5
2013,12,0,Oak Ridge,District,Math,3rd through 8th,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Math,3rd through 8th,Economically Disadvantaged,993,13.8,38.2,52,33,15,48
2013,12,0,Oak Ridge,District,Math,3rd through 8th,Students with Disabilities,248,20.6,40.3,60.9,25.4,13.7,39.1
2013,12,0,Oak Ridge,District,Math,3rd through 8th,English Language Learners,74,19,45.9,64.9,24.3,10.8,35.1
2013,12,0,Oak Ridge,District,Math,3rd through 8th,Black/Hispanic/Native American,506,13.7,39.5,53.2,32.2,14.6,46.8
2013,12,0,Oak Ridge,District,Math,3rd,All Students,316,2.2,22.8,25,43.7,31.3,75
2013,12,0,Oak Ridge,District,Math,3rd,White,235,2.2,20.4,22.6,43.4,34,77.4
2013,12,0,Oak Ridge,District,Math,3rd,Hispanic,28,3.6,32.1,35.7,39.3,25,64.3
2013,12,0,Oak Ridge,District,Math,3rd,Black,46,2.2,30.4,32.6,47.8,19.6,67.4
2013,12,0,Oak Ridge,District,Math,3rd,Asian,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Math,3rd,Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Math,3rd,Hawaiian or Pacific Islander,,,,,,,
2013,12,0,Oak Ridge,District,Math,3rd,Economically Disadvantaged,166,3.6,35.5,39.1,42.2,18.7,60.9
2013,12,0,Oak Ridge,District,Math,3rd,Students with Disabilities,43,9.3,34.9,44.2,39.5,16.3,55.8
2013,12,0,Oak Ridge,District,Math,3rd,English Language Learners,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Math,3rd,Black/Hispanic/Native American,75,2.7,32,34.7,44,21.3,65.3
2013,12,0,Oak Ridge,District,Math,7th,All Students,331,7.9,28.4,36.3,32.6,31.1,63.7
2013,12,0,Oak Ridge,District,Math,7th,White,246,6.1,28.5,34.6,33.3,32.1,65.4
2013,12,0,Oak Ridge,District,Math,7th,Hispanic,22,9.1,22.7,31.8,18.2,50,68.2
2013,12,0,Oak Ridge,District,Math,7th,Black,46,17.4,39.1,56.5,41.3,2.2,43.5
2013,12,0,Oak Ridge,District,Math,7th,Asian,13,7.7,0,7.7,15.4,76.9,92.3
2013,12,0,Oak Ridge,District,Math,7th,Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Math,7th,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Math,7th,Economically Disadvantaged,131,16,37.4,53.4,33.6,13,46.6
2013,12,0,Oak Ridge,District,Math,7th,Students with Disabilities,29,17.3,31,48.3,37.9,13.8,51.7
2013,12,0,Oak Ridge,District,Math,7th,English Language Learners,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Math,7th,Black/Hispanic/Native American,71,14.1,33.8,47.9,32.4,19.7,52.1
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,All Students,2027,5.8,32.5,38.3,43.1,18.6,61.7
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,White,1432,4.1,28.5,32.6,45.2,22.2,67.4
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,Hispanic,162,9.3,42.6,51.9,40.7,7.4,48.1
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,Black,331,12.5,47.4,59.9,34.1,6,40.1
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,Asian,81,2.5,22.2,24.7,44.4,30.9,75.3
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,Native American,13,7.7,30.8,38.5,53.8,7.7,61.5
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,Economically Disadvantaged,992,9.8,43.4,53.2,37.9,8.9,46.8
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,Students with Disabilities,248,19,43.1,62.1,23.4,14.5,37.9
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,English Language Learners,75,18.7,56,74.7,21.3,4,25.3
2013,12,0,Oak Ridge,District,RLA,3rd through 8th,Black/Hispanic/Native American,506,11.2,45.5,56.7,36.8,6.5,43.3
2013,12,0,Oak Ridge,District,RLA,3rd,All Students,316,5.3,38,43.3,38.3,18.4,56.7
2013,12,0,Oak Ridge,District,RLA,3rd,White,235,3.8,33.6,37.4,41.3,21.3,62.6
2013,12,0,Oak Ridge,District,RLA,3rd,Hispanic,28,7.2,57.1,64.3,25,10.7,35.7
2013,12,0,Oak Ridge,District,RLA,3rd,Black,46,13.1,50,63.1,32.6,4.3,36.9
2013,12,0,Oak Ridge,District,RLA,3rd,Asian,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,RLA,3rd,Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,RLA,3rd,Hawaiian or Pacific Islander,,,,,,,
2013,12,0,Oak Ridge,District,RLA,3rd,Economically Disadvantaged,166,9.7,50.6,60.3,30.7,9,39.7
2013,12,0,Oak Ridge,District,RLA,3rd,Students with Disabilities,43,18.7,39.5,58.2,30.2,11.6,41.8
2013,12,0,Oak Ridge,District,RLA,3rd,English Language Learners,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,RLA,3rd,Black/Hispanic/Native American,75,10.7,53.3,64,29.3,6.7,36
2013,12,0,Oak Ridge,District,RLA,7th,All Students,328,5.8,25.6,31.4,42.7,25.9,68.6
2013,12,0,Oak Ridge,District,RLA,7th,White,245,4.1,22.4,26.5,44.5,29,73.5
2013,12,0,Oak Ridge,District,RLA,7th,Hispanic,21,4.7,38.1,42.8,42.9,14.3,57.2
2013,12,0,Oak Ridge,District,RLA,7th,Black,46,17.4,41.3,58.7,34.8,6.5,41.3
2013,12,0,Oak Ridge,District,RLA,7th,Asian,12,0,16.7,16.7,33.3,50,83.3
2013,12,0,Oak Ridge,District,RLA,7th,Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,RLA,7th,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,RLA,7th,Economically Disadvantaged,131,10.7,36.6,47.3,39.7,13,52.7
2013,12,0,Oak Ridge,District,RLA,7th,Students with Disabilities,29,17.3,31,48.3,24.1,27.6,51.7
2013,12,0,Oak Ridge,District,RLA,7th,English Language Learners,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,RLA,7th,Black/Hispanic/Native American,70,12.8,38.6,51.4,38.6,10,48.6
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,All Students,253,14.6,20.6,35.2,32,32.8,64.8
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,White,183,12.6,19.1,31.7,33.3,35,68.3
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,Hispanic,11,27.2,27.3,54.5,18.2,27.3,45.5
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,Black,52,21.2,26.9,48.1,26.9,25,51.9
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,Asian,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,Hawaiian or Pacific Islander,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,Economically Disadvantaged,122,22.1,25.4,47.5,28.7,23.8,52.5
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,Students with Disabilities,41,41.5,26.8,68.3,26.8,4.9,31.7
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,English Language Learners,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Algebra I,9th through 12th,Black/Hispanic/Native American,65,21.5,26.2,47.7,27.7,24.6,52.3
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,All Students,306,11.4,26.5,37.9,29.7,32.4,62.1
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,White,225,8.5,25.3,33.8,32.9,33.3,66.2
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,Hispanic,21,14.3,28.6,42.9,19,38.1,57.1
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,Black,39,28.1,38.5,66.6,23.1,10.3,33.4
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,Asian,15,0,6.7,6.7,13.3,80,93.3
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,Hawaiian or Pacific Islander,,,,,,,
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,Economically Disadvantaged,86,22.1,39.5,61.6,31.4,7,38.4
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,Students with Disabilities,21,47.6,33.3,80.9,14.3,4.8,19.1
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,English Language Learners,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,Algebra II,9th through 12th,Black/Hispanic/Native American,63,22.3,34.9,57.2,23.8,19,42.8
2013,12,0,Oak Ridge,District,English II,9th through 12th,All Students,325,6.2,20.3,26.5,51.7,21.8,73.5
2013,12,0,Oak Ridge,District,English II,9th through 12th,White,236,2.2,18.6,20.8,53.8,25.4,79.2
2013,12,0,Oak Ridge,District,English II,9th through 12th,Hispanic,24,12.5,12.5,25,62.5,12.5,75
2013,12,0,Oak Ridge,District,English II,9th through 12th,Black,48,20.8,37.5,58.3,35.4,6.3,41.7
2013,12,0,Oak Ridge,District,English II,9th through 12th,Asian,12,16.6,0,16.6,41.7,41.7,83.4
2013,12,0,Oak Ridge,District,English II,9th through 12th,Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,English II,9th through 12th,Hawaiian or Pacific Islander,,,,,,,
2013,12,0,Oak Ridge,District,English II,9th through 12th,Economically Disadvantaged,119,12.6,33.6,46.2,42.9,10.9,53.8
2013,12,0,Oak Ridge,District,English II,9th through 12th,Students with Disabilities,48,18.8,50,68.8,20.8,10.4,31.2
2013,12,0,Oak Ridge,District,English II,9th through 12th,English Language Learners,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,English II,9th through 12th,Black/Hispanic/Native American,75,17.4,29.3,46.7,45.3,8,53.3
2013,12,0,Oak Ridge,District,English III,9th through 12th,All Students,245,14.7,26.5,41.2,29.8,29,58.8
2013,12,0,Oak Ridge,District,English III,9th through 12th,White,180,11.1,26.7,37.8,28.9,33.3,62.2
2013,12,0,Oak Ridge,District,English III,9th through 12th,Hispanic,15,13.3,20,33.3,40,26.7,66.7
2013,12,0,Oak Ridge,District,English III,9th through 12th,Black,39,33.3,28.2,61.5,30.8,7.7,38.5
2013,12,0,Oak Ridge,District,English III,9th through 12th,Asian,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,English III,9th through 12th,Native American,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,English III,9th through 12th,Hawaiian or Pacific Islander,,,,,,,
2013,12,0,Oak Ridge,District,English III,9th through 12th,Economically Disadvantaged,82,25.5,29.3,54.8,29.3,15.9,45.2
2013,12,0,Oak Ridge,District,English III,9th through 12th,Students with Disabilities,29,65.6,17.2,82.8,10.3,6.9,17.2
2013,12,0,Oak Ridge,District,English III,9th through 12th,English Language Learners,*,*,*,*,*,*,*
2013,12,0,Oak Ridge,District,English III,9th through 12th,Black/Hispanic/Native American,57,26.3,26.3,52.6,35.1,12.3,47.4
2013,20,0,Bedford County,District,Math,3rd through 8th,All Students,3711,15.4,36.4,51.8,31.8,16.4,48.2
2013,20,0,Bedford County,District,Math,3rd through 8th,White,2562,14.3,33.6,47.9,33.9,18.2,52.1
