year,system,system_name,school,school_name,subject,grade,subgroup,valid_tests,n_below_bsc,n_bsc,n_prof,n_adv,pct_below_bsc,pct_bsc,pct_prof,pct_adv,pct_bsc_and_below,pct_prof_adv
2013,0,State,0,State,Math,7,English Language Learners,1114,540,413,113,48,48.5,37.1,10.1,4.3,85.6,14.4
2013,0,State,0,State,Math,7,English Language Learners with T1/T2,1921,720,753,322,126,37.4,39.2,16.8,6.6,76.6,23.4
2013,0,State,0,State,Math,7,Black/Hispanic/Native American,22745,7183,8565,4871,2126,31.6,37.7,21.4,9.3,69.3,30.7
2013,0,State,0,State,Math,8,All Students,64122,15037,22501,15788,10796,23.5,35.1,24.6,16.8,58.6,41.4
2013,0,State,0,State,Math,8,White,43504,8180,14807,11737,8780,18.8,34,27,20.2,52.8,47.2
2013,0,State,0,State,Math,8,Hispanic,3676,931,1389,865,491,25.3,37.8,23.5,13.4,63.1,36.9
2013,0,State,0,State,Math,8,Black,15927,5797,6029,2896,1205,36.3,37.9,18.2,7.6,74.2,25.8
2013,0,State,0,State,Math,8,Asian,754,75,186,212,281,9.9,24.7,28.1,37.3,34.6,65.4
2013,0,State,0,State,Math,8,Native American,186,40,63,55,28,21.4,33.9,29.6,15.1,55.3,44.7
2013,0,State,0,State,Math,8,Hawaiian or Pacific Islander,75,14,27,23,11,18.6,36,30.7,14.7,54.6,45.4
2013,0,State,0,State,Math,8,Economically Disadvantaged,37382,11175,13921,7951,4335,29.9,37.2,21.3,11.6,67.1,32.9
2013,0,State,0,State,Math,8,Students with Disabilities,8770,4186,2655,1072,857,47.7,30.3,12.2,9.8,78,22
2013,0,State,0,State,Math,8,English Language Learners,874,435,306,93,40,49.8,35,10.6,4.6,84.8,15.2
2013,0,State,0,State,Math,8,English Language Learners with T1/T2,1355,550,517,210,78,40.5,38.2,15.5,5.8,78.7,21.3
2013,0,State,0,State,Math,8,Black/Hispanic/Native American,19789,6768,7481,3816,1724,34.2,37.8,19.3,8.7,72,28
2013,0,State,0,State,RLA,All Grades,All Students,444916,52852,168062,171233,52769,11.8,37.8,38.5,11.9,49.6,50.4
2013,0,State,0,State,RLA,All Grades,White,297999,23915,101821,129312,42951,8,34.2,43.4,14.4,42.2,57.8
2013,0,State,0,State,RLA,All Grades,Hispanic,30719,5088,13787,9865,1979,16.6,44.9,32.1,6.4,61.5,38.5
2013,0,State,0,State,RLA,All Grades,Black,105868,23087,49763,27589,5429,21.8,47,26.1,5.1,68.8,31.2
2013,0,State,0,State,RLA,All Grades,Asian,8477,589,1990,3712,2186,6.9,23.5,43.8,25.8,30.4,69.6
2013,0,State,0,State,RLA,All Grades,Native American,1231,126,499,478,128,10.3,40.5,38.8,10.4,50.8,49.2
2013,0,State,0,State,RLA,All Grades,Hawaiian or Pacific Islander,622,47,202,277,96,7.6,32.5,44.5,15.4,40.1,59.9
2013,0,State,0,State,RLA,All Grades,Economically Disadvantaged,254962,43063,115373,80168,16358,16.9,45.3,31.4,6.4,62.2,37.8
2013,0,State,0,State,RLA,All Grades,Students with Disabilities,60211,17517,24317,11306,7071,29.1,40.4,18.8,11.7,69.5,30.5
2013,0,State,0,State,RLA,All Grades,English Language Learners,10745,4463,5098,1018,166,41.6,47.4,9.5,1.5,89,11
2013,0,State,0,State,RLA,All Grades,English Language Learners with T1/T2,17011,4972,8488,3119,432,29.3,49.9,18.3,2.5,79.2,20.8
2013,0,State,0,State,RLA,All Grades,Black/Hispanic/Native American,137818,28301,64049,37932,7536,20.5,46.5,27.5,5.5,67,33
2013,0,State,0,State,RLA,3,All Students,74452,7945,30185,27050,9272,10.7,40.5,36.3,12.5,51.2,48.8
2013,0,State,0,State,RLA,3,White,49324,3416,18147,20192,7569,7,36.8,40.9,15.3,43.8,56.2
2013,0,State,0,State,RLA,3,Hispanic,5930,988,2895,1669,378,16.7,48.8,28.1,6.4,65.5,34.5
2013,0,State,0,State,RLA,3,Black,17305,3418,8609,4371,907,19.8,49.7,25.3,5.2,69.5,30.5
2013,0,State,0,State,RLA,3,Asian,1569,96,414,678,381,6.1,26.4,43.2,24.3,32.5,67.5
2013,0,State,0,State,RLA,3,Native American,210,23,81,84,22,10.9,38.6,40,10.5,49.5,50.5
2013,0,State,0,State,RLA,3,Hawaiian or Pacific Islander,114,4,39,56,15,3.5,34.2,49.1,13.2,37.7,62.3
2013,0,State,0,State,RLA,3,Economically Disadvantaged,44210,6658,21548,13091,2913,15.1,48.7,29.6,6.6,63.8,36.2
2013,0,State,0,State,RLA,3,Students with Disabilities,10514,2660,4392,2201,1261,25.3,41.8,20.9,12,67.1,32.9
2013,0,State,0,State,RLA,3,English Language Learners,2876,934,1529,350,63,32.4,53.2,12.2,2.2,85.6,14.4
2013,0,State,0,State,RLA,3,English Language Learners with T1/T2,4592,1018,2467,954,153,22.2,53.7,20.8,3.3,75.9,24.1
2013,0,State,0,State,RLA,3,Black/Hispanic/Native American,23445,4429,11585,6124,1307,18.9,49.4,26.1,5.6,68.3,31.7
2013,0,State,0,State,RLA,4,All Students,73958,8938,29683,24938,10399,12.1,40.1,33.7,14.1,52.2,47.8
2013,0,State,0,State,RLA,4,White,48916,3709,17958,18783,8466,7.6,36.7,38.4,17.3,44.3,55.7
2013,0,State,0,State,RLA,4,Hispanic,5622,1052,2637,1512,421,18.7,46.9,26.9,7.5,65.6,34.4
2013,0,State,0,State,RLA,4,Black,17571,4058,8572,3927,1014,23.1,48.8,22.3,5.8,71.9,28.1
2013,0,State,0,State,RLA,4,Asian,1554,88,398,611,457,5.7,25.6,39.3,29.4,31.3,68.7
2013,0,State,0,State,RLA,4,Native American,180,18,79,63,20,10,43.9,35,11.1,53.9,46.1
2013,0,State,0,State,RLA,4,Hawaiian or Pacific Islander,115,13,39,42,21,11.3,33.9,36.5,18.3,45.2,54.8
2013,0,State,0,State,RLA,4,Economically Disadvantaged,43325,7479,20704,11903,3239,17.2,47.8,27.5,7.5,65,35
2013,0,State,0,State,RLA,4,Students with Disabilities,10773,2938,4801,1881,1153,27.2,44.6,17.5,10.7,71.8,28.2
2013,0,State,0,State,RLA,4,English Language Learners,2625,983,1352,256,34,37.4,51.5,9.8,1.3,88.9,11.1
2013,0,State,0,State,RLA,4,English Language Learners with T1/T2,3792,1069,1946,660,117,28.2,51.3,17.4,3.1,79.5,20.5
2013,0,State,0,State,RLA,4,Black/Hispanic/Native American,23373,5128,11288,5502,1455,22,48.3,23.5,6.2,70.3,29.7
2013,0,State,0,State,RLA,5,All Students,73944,6172,27083,32975,7714,8.4,36.6,44.6,10.4,45,55
2013,0,State,0,State,RLA,5,White,49380,2696,16110,24432,6142,5.5,32.6,49.5,12.4,38.1,61.9
2013,0,State,0,State,RLA,5,Hispanic,5339,601,2310,2124,304,11.2,43.3,39.8,5.7,54.5,45.5
2013,0,State,0,State,RLA,5,Black,17516,2785,8239,5605,887,15.9,47,32,5.1,62.9,37.1
2013,0,State,0,State,RLA,5,Asian,1414,72,304,693,345,5.1,21.5,49,24.4,26.6,73.4
2013,0,State,0,State,RLA,5,Native American,205,16,87,83,19,7.8,42.4,40.5,9.3,50.2,49.8
2013,0,State,0,State,RLA,5,Hawaiian or Pacific Islander,90,2,33,38,17,2.2,36.7,42.2,18.9,38.9,61.1
2013,0,State,0,State,RLA,5,Economically Disadvantaged,42919,5140,19213,16062,2504,12,44.8,37.4,5.8,56.8,43.2
2013,0,State,0,State,RLA,5,Students with Disabilities,10563,1860,4767,2843,1093,17.7,45.1,26.9,10.3,62.8,37.2
2013,0,State,0,State,RLA,5,English Language Learners,2011,604,1109,276,22,30.1,55.1,13.7,1.1,85.2,14.8
2013,0,State,0,State,RLA,5,English Language Learners with T1/T2,2816,619,1433,694,70,22,50.9,24.6,2.5,72.9,27.1
2013,0,State,0,State,RLA,5,Black/Hispanic/Native American,23060,3402,10636,7812,1210,14.8,46.1,33.9,5.2,60.9,39.1
2013,0,State,0,State,RLA,6,All Students,74546,9156,23185,35443,6762,12.3,31.1,47.5,9.1,43.4,56.6
2013,0,State,0,State,RLA,6,White,49979,4185,13613,26726,5455,8.4,27.2,53.5,10.9,35.6,64.4
2013,0,State,0,State,RLA,6,Hispanic,5137,860,1942,2069,266,16.7,37.8,40.3,5.2,54.5,45.5
2013,0,State,0,State,RLA,6,Black,17714,3968,7281,5738,727,22.4,41.1,32.4,4.1,63.5,36.5
2013,0,State,0,State,RLA,6,Asian,1396,104,260,747,285,7.5,18.6,53.5,20.4,26.1,73.9
2013,0,State,0,State,RLA,6,Native American,212,33,63,99,17,15.6,29.7,46.7,8,45.3,54.7
2013,0,State,0,State,RLA,6,Hawaiian or Pacific Islander,108,6,26,64,12,5.5,24.1,59.3,11.1,29.6,70.4
2013,0,State,0,State,RLA,6,Economically Disadvantaged,42649,7410,16218,16830,2191,17.4,38,39.5,5.1,55.4,44.6
2013,0,State,0,State,RLA,6,Students with Disabilities,10166,3285,3646,1989,1246,32.2,35.9,19.6,12.3,68.1,31.9
2013,0,State,0,State,RLA,6,English Language Learners,1272,681,494,77,20,53.5,38.8,6.1,1.6,92.3,7.7
2013,0,State,0,State,RLA,6,English Language Learners with T1/T2,2520,783,1161,535,41,31.1,46.1,21.2,1.6,77.2,22.8
2013,0,State,0,State,RLA,6,Black/Hispanic/Native American,23063,4861,9286,7906,1010,21,40.3,34.3,4.4,61.3,38.7
2013,0,State,0,State,RLA,7,All Students,74552,12910,26703,25101,9838,17.3,35.8,33.7,13.2,53.1,46.9
2013,0,State,0,State,RLA,7,White,50342,6304,16653,19261,8124,12.5,33.1,38.3,16.1,45.6,54.4
2013,0,State,0,State,RLA,7,Hispanic,4615,1020,1955,1292,348,22.1,42.4,28,7.5,64.5,35.5
2013,0,State,0,State,RLA,7,Black,17941,5407,7665,3925,944,30.1,42.7,21.9,5.3,72.8,27.2
2013,0,State,0,State,RLA,7,Asian,1337,140,308,514,375,10.6,23,38.4,28,33.6,66.4
2013,0,State,0,State,RLA,7,Native American,220,23,93,75,29,10.4,42.3,34.1,13.2,52.7,47.3
2013,0,State,0,State,RLA,7,Hawaiian or Pacific Islander,97,16,29,34,18,16.4,29.9,35.1,18.6,46.3,53.7
2013,0,State,0,State,RLA,7,Economically Disadvantaged,41703,10186,17385,11259,2873,24.4,41.7,27,6.9,66.1,33.9
2013,0,State,0,State,RLA,7,Students with Disabilities,9304,3805,3117,1282,1100,40.9,33.5,13.8,11.8,74.4,25.6
2013,0,State,0,State,RLA,7,English Language Learners,1091,***,***,***,***,***,***,***,***,***,***
2013,0,State,0,State,RLA,7,English Language Learners with T1/T2,1902,913,773,186,30,48,40.6,9.8,1.6,88.6,11.4
2013,0,State,0,State,RLA,7,Black/Hispanic/Native American,22776,6450,9713,5292,1321,28.4,42.6,23.2,5.8,71,29
2013,0,State,0,State,RLA,8,All Students,73464,7731,31223,25726,8784,10.5,42.5,35,12,53,47
2013,0,State,0,State,RLA,8,White,50058,3605,19340,19918,7195,7.2,38.6,39.8,14.4,45.8,54.2
2013,0,State,0,State,RLA,8,Hispanic,4076,567,2048,1199,262,14,50.2,29.4,6.4,64.2,35.8
2013,0,State,0,State,RLA,8,Black,17821,3451,9397,4023,950,19.4,52.7,22.6,5.3,72.1,27.9
2013,0,State,0,State,RLA,8,Asian,1207,89,306,469,343,7.3,25.4,38.9,28.4,32.7,67.3
2013,0,State,0,State,RLA,8,Native American,204,13,96,74,21,6.3,47.1,36.3,10.3,53.4,46.6
2013,0,State,0,State,RLA,8,Hawaiian or Pacific Islander,98,6,36,43,13,6.1,36.7,43.9,13.3,42.8,57.2
2013,0,State,0,State,RLA,8,Economically Disadvantaged,40156,6190,20305,11023,2638,15.3,50.6,27.5,6.6,65.9,34.1
2013,0,State,0,State,RLA,8,Students with Disabilities,8891,2969,3594,1110,1218,33.4,40.4,12.5,13.7,73.8,26.2
2013,0,State,0,State,RLA,8,English Language Learners,870,***,***,***,***,***,***,***,***,***,***
2013,0,State,0,State,RLA,8,English Language Learners with T1/T2,1389,570,708,90,21,41,51,6.5,1.5,92,8
2013,0,State,0,State,RLA,8,Black/Hispanic/Native American,22101,4031,11541,5296,1233,18.2,52.2,24,5.6,70.4,29.6
2013,0,State,0,State,Science,All Grades,All Students,443978,62969,102959,195925,82125,14.2,23.2,44.1,18.5,37.4,62.6
2013,0,State,0,State,Science,All Grades,White,297318,26445,58374,144099,68400,8.9,19.6,48.5,23,28.5,71.5
2013,0,State,0,State,Science,All Grades,Hispanic,30757,5667,9335,12709,3046,18.4,30.4,41.3,9.9,48.8,51.2
2013,0,State,0,State,Science,All Grades,Black,105624,30098,33716,34557,7253,28.5,31.9,32.7,6.9,60.4,39.6
2013,0,State,0,State,Science,All Grades,Asian,8428,548,1159,3686,3035,6.5,13.8,43.7,36,20.3,79.7
2013,0,State,0,State,Science,All Grades,Native American,1228,153,267,567,241,12.5,21.7,46.2,19.6,34.2,65.8
2013,0,State,0,State,Science,All Grades,Hawaiian or Pacific Islander,623,58,108,307,150,9.3,17.3,49.3,24.1,26.6,73.4
2013,0,State,0,State,Science,All Grades,Economically Disadvantaged,254671,51719,73997,102780,26175,20.2,29.1,40.4,10.3,49.3,50.7
2013,0,State,0,State,Science,All Grades,Students with Disabilities,60103,19697,17757,15334,7315,32.8,29.5,25.5,12.2,62.3,37.7
2013,0,State,0,State,Science,All Grades,English Language Learners,10890,4255,3996,2408,231,39.1,36.7,22.1,2.1,75.8,24.2
2013,0,State,0,State,Science,All Grades,English Language Learners with T1/T2,17171,4927,6065,5475,704,28.7,35.3,31.9,4.1,64,36
2013,0,State,0,State,Science,All Grades,Black/Hispanic/Native American,137609,35918,43318,47833,10540,26,31.5,34.8,7.7,57.5,42.5
2013,0,State,0,State,Science,3,All Students,74402,9508,14852,36374,13668,12.7,20,48.9,18.4,32.7,67.3
2013,0,State,0,State,Science,3,White,49279,3867,7935,26070,11407,7.9,16.1,52.9,23.1,24,76
2013,0,State,0,State,Science,3,Hispanic,5934,986,1712,2717,519,16.6,28.9,45.8,8.7,45.5,54.5
2013,0,State,0,State,Science,3,Black,17287,4530,4949,6666,1142,26.2,28.6,38.6,6.6,54.8,45.2
2013,0,State,0,State,Science,3,Asian,1579,93,203,748,535,5.8,12.9,47.4,33.9,18.7,81.3
2013,0,State,0,State,Science,3,Native American,209,23,32,114,40,11.1,15.3,54.5,19.1,26.4,73.6
2013,0,State,0,State,Science,3,Hawaiian or Pacific Islander,114,9,21,59,25,7.9,18.4,51.8,21.9,26.3,73.7
2013,0,State,0,State,Science,3,Economically Disadvantaged,44169,8037,11346,20454,4332,18.2,25.7,46.3,9.8,43.9,56.1
2013,0,State,0,State,Science,3,Students with Disabilities,10493,2576,2907,3772,1238,24.6,27.7,35.9,11.8,52.3,47.7
2013,0,State,0,State,Science,3,English Language Learners,2900,817,1036,966,81,28.2,35.7,33.3,2.8,63.9,36.1
2013,0,State,0,State,Science,3,English Language Learners with T1/T2,4615,958,1546,1899,212,20.8,33.5,41.1,4.6,54.3,45.7
2013,0,State,0,State,Science,3,Black/Hispanic/Native American,23430,5539,6693,9497,1701,23.6,28.6,40.5,7.3,52.2,47.8
2013,0,State,0,State,Science,4,All Students,73923,11452,21117,29465,11889,15.4,28.6,39.9,16.1,44,56
2013,0,State,0,State,Science,4,White,48870,4464,12143,22201,10062,9.2,24.8,45.4,20.6,34,66
2013,0,State,0,State,Science,4,Hispanic,5624,1167,2058,1991,408,20.7,36.6,35.4,7.3,57.3,42.7
2013,0,State,0,State,Science,4,Black,17571,5694,6553,4443,881,32.4,37.3,25.3,5,69.7,30.3
2013,0,State,0,State,Science,4,Asian,1563,97,276,707,483,6.2,17.7,45.2,30.9,23.9,76.1
2013,0,State,0,State,Science,4,Native American,180,19,64,66,31,10.5,35.6,36.7,17.2,46.1,53.9
2013,0,State,0,State,Science,4,Hawaiian or Pacific Islander,115,11,23,57,24,9.5,20,49.6,20.9,29.5,70.5
2013,0,State,0,State,Science,4,Economically Disadvantaged,43298,9552,15276,14893,3577,22,35.3,34.4,8.3,57.3,42.7
2013,0,State,0,State,Science,4,Students with Disabilities,10758,3757,3668,2274,1059,35,34.1,21.1,9.8,69.1,30.9
2013,0,State,0,State,Science,4,English Language Learners,2647,962,1131,519,35,36.4,42.7,19.6,1.3,79.1,20.9
2013,0,State,0,State,Science,4,English Language Learners with T1/T2,3814,1077,1548,1053,136,28.2,40.6,27.6,3.6,68.8,31.2
2013,0,State,0,State,Science,4,Black/Hispanic/Native American,23375,6880,8675,6500,1320,29.5,37.1,27.8,5.6,66.6,33.4
2013,0,State,0,State,Science,5,All Students,73893,11509,15803,35146,11435,15.5,21.4,47.6,15.5,36.9,63.1
2013,0,State,0,State,Science,5,White,49326,4540,8946,26378,9462,9.2,18.1,53.5,19.2,27.3,72.7
2013,0,State,0,State,Science,5,Hispanic,5345,1096,1548,2256,445,20.5,29,42.2,8.3,49.5,50.5
2013,0,State,0,State,Science,5,Black,17505,5727,5074,5693,1011,32.7,29,32.5,5.8,61.7,38.3
2013,0,State,0,State,Science,5,Asian,1422,111,180,663,468,7.8,12.7,46.6,32.9,20.5,79.5
2013,0,State,0,State,Science,5,Native American,205,29,38,108,30,14.2,18.5,52.7,14.6,32.7,67.3
2013,0,State,0,State,Science,5,Hawaiian or Pacific Islander,90,6,17,48,19,6.7,18.9,53.3,21.1,25.6,74.4
2013,0,State,0,State,Science,5,Economically Disadvantaged,42877,9586,11452,18113,3726,22.4,26.7,42.2,8.7,49.1,50.9
2013,0,State,0,State,Science,5,Students with Disabilities,10547,3325,2926,3005,1291,31.6,27.7,28.5,12.2,59.3,40.7
2013,0,State,0,State,Science,5,English Language Learners,2029,869,702,417,41,42.8,34.6,20.6,2,77.4,22.6
2013,0,State,0,State,Science,5,English Language Learners with T1/T2,2835,942,902,880,111,33.3,31.8,31,3.9,65.1,34.9
2013,0,State,0,State,Science,5,Black/Hispanic/Native American,23055,6852,6660,8057,1486,29.8,28.9,34.9,6.4,58.7,41.3
2013,0,State,0,State,Science,6,All Students,74529,12610,15675,33348,12896,17,21,44.7,17.3,38,62
2013,0,State,0,State,Science,6,White,49944,5659,9145,24424,10716,11.3,18.3,48.9,21.5,29.6,70.4
2013,0,State,0,State,Science,6,Hispanic,5158,1071,1395,2188,504,20.8,27,42.4,9.8,47.8,52.2
2013,0,State,0,State,Science,6,Black,17700,5713,4909,5975,1103,32.3,27.7,33.8,6.2,60,40
2013,0,State,0,State,Science,6,Asian,1405,106,178,606,515,7.5,12.7,43.1,36.7,20.2,79.8
2013,0,State,0,State,Science,6,Native American,212,48,35,97,32,22.6,16.5,45.8,15.1,39.1,60.9
2013,0,State,0,State,Science,6,Hawaiian or Pacific Islander,110,13,13,58,26,11.9,11.8,52.7,23.6,23.7,76.3
2013,0,State,0,State,Science,6,Economically Disadvantaged,42637,10177,11092,17373,3995,23.9,26,40.7,9.4,49.9,50.1
2013,0,State,0,State,Science,6,Students with Disabilities,10161,4182,2585,2296,1098,41.2,25.4,22.6,10.8,66.6,33.4
2013,0,State,0,State,Science,6,English Language Learners,1300,653,384,235,28,50.2,29.5,18.1,2.2,79.7,20.3
2013,0,State,0,State,Science,6,English Language Learners with T1/T2,2565,826,793,841,105,32.2,30.9,32.8,4.1,63.1,36.9
2013,0,State,0,State,Science,6,Black/Hispanic/Native American,23070,6832,6339,8260,1639,29.6,27.5,35.8,7.1,57.1,42.9
